Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2024-05-12 00:00:00,2024-05-13 00:00:00,UTC-05:00,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09 00:00:00,2024-05-10 00:00:00,UTC-05:00,,,,,,,,,,,,,,,,,,,,,,,
2024-05-08 00:00:00,2024-05-09 00:00:00,UTC-05:00,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 00:00:00,2024-05-07 00:00:00,UTC-05:00,,,,,,,,,,,,,,,,,,,,,,,
2024-05-04 00:00:00,2024-05-05 00:00:00,UTC-05:00,,,,,,,,,,,,,,,,,,,,,,,
2024-05-02 00:00:00,2024-05-03 09:00:35,UTC-05:00,,,,,,,,,,,,,,,,,,,,,,,
2024-04-23 00:00:00,2024-04-24 00:00:00,UTC-05:00,,,,,,,,,,,,,,,,,,,,,,,
2024-04-15 00:00:00,2024-04-16 00:00:00,UTC-05:00,,,,,,,,,,,,,,,,,,,,,,,
2024-04-13 00:00:00,2024-04-14 00:00:00,UTC-05:00,,,,,,,,,,,,,,,,,,,,,,,
2024-04-10 00:00:00,2024-04-11 00:00:00,UTC-05:00,,,,,,,,,,,,,,,,,,,,,,,
2024-04-09 00:00:00,2024-04-10 00:00:00,UTC-05:00,,,,,,,,,,,,,,,,,,,,,,,
2024-04-03 23:42:40,2024-04-04 20:24:17,UTC-05:00,65,54,91,33.08,94.50,4.0,1318,113,60,2024-04-03 23:42:40,2024-04-04 08:32:51,83,15.1,460,530,264,99,97,70,552,78,86,52
2024-04-02 20:24:17,2024-04-03 23:42:40,UTC-05:00,,,,,,4.4,660,123,67,,,,,,,,,,,,,,
2024-04-01 20:24:17,2024-04-02 20:24:17,UTC-05:00,38,60,77,34.80,89.67,4.1,1137,122,62,2024-04-01 20:24:17,2024-04-02 05:38:47,73,16.1,414,554,233,60,121,140,570,66,74,36
2024-04-01 00:55:22,2024-04-01 20:24:17,UTC-05:00,65,54,88,33.48,96.20,14.4,2502,153,77,2024-04-01 00:55:22,2024-04-01 07:31:25,73,15.4,352,394,194,64,94,42,485,0,89,
2024-03-31 00:36:06,2024-04-01 00:55:22,UTC-05:00,98,49,129,33.10,96.00,10.7,2315,154,69,2024-03-31 00:36:06,2024-03-31 10:23:27,100,15.8,501,587,217,109,175,86,473,0,85,
2024-03-30 00:00:00,2024-03-31 00:36:06,UTC-05:00,,,,,,4.1,471,108,65,,,,,,,,,,,,,,
2024-03-17 01:05:57,2024-03-18 01:05:57,UTC-05:00,60,54,76,32.99,96.32,12.5,2940,161,67,2024-03-17 01:05:57,2024-03-17 11:57:14,100,15.8,567,651,314,123,130,84,486,12,87,65
2024-03-16 02:38:58,2024-03-17 01:05:57,UTC-05:00,62,50,82,33.80,95.96,4.2,1104,121,56,2024-03-16 02:38:58,2024-03-16 11:35:51,96,15.9,493,536,230,116,147,43,512,36,91,49
2024-03-15 00:20:58,2024-03-16 02:38:58,UTC-05:00,81,48,96,32.50,95.55,5.7,2141,133,63,2024-03-15 00:20:58,2024-03-15 09:41:53,89,15.3,477,560,266,91,120,83,534,49,85,47
2024-03-13 23:53:05,2024-03-15 00:20:58,UTC-05:00,79,50,92,33.40,97.25,10.3,2239,160,64,2024-03-13 23:53:05,2024-03-14 07:04:13,79,15.9,383,431,228,98,57,48,483,3,89,33
2024-03-12 01:47:56,2024-03-13 23:53:05,UTC-05:00,91,48,108,33.35,96.75,8.4,1842,145,63,2024-03-12 01:47:56,2024-03-12 11:25:12,99,16.1,534,577,291,110,133,43,540,61,92,61
2024-03-10 23:13:05,2024-03-12 01:47:56,UTC-05:00,80,51,96,33.17,96.40,7.7,2274,149,60,2024-03-10 23:13:05,2024-03-11 08:47:56,79,16.2,454,574,307,94,53,120,577,83,79,47
2024-03-10 03:22:26,2024-03-10 23:13:05,UTC-05:00,3,75,22,33.44,97.25,12.7,2205,153,80,2024-03-10 03:22:26,2024-03-10 11:21:44,70,16.2,389,479,232,85,72,90,556,41,81,45
2024-03-09 00:12:48,2024-03-10 02:22:26,UTC-06:00,71,51,82,33.30,97.29,16.0,3364,154,75,2024-03-09 00:12:48,2024-03-09 08:07:40,84,15.8,438,471,260,97,81,33,521,46,93,69
2024-03-07 23:13:10,2024-03-09 00:12:48,UTC-06:00,67,53,80,33.10,96.38,5.3,1759,150,61,2024-03-07 23:13:10,2024-03-08 07:15:16,82,16.1,417,481,225,90,102,64,510,23,87,55
2024-03-07 00:00:00,2024-03-07 23:13:10,UTC-06:00,,,,,,10.7,1463,159,80,,,,,,,,,,,,,,
2024-03-05 22:18:56,2024-03-07 00:00:00,UTC-06:00,58,53,72,33.50,95.00,4.0,671,112,75,2024-03-05 22:18:56,2024-03-06 06:43:50,92,16.4,440,504,247,91,102,64,477,1,87,37
